"","ensembl_gene_id","hgnc_symbol"
"287","ENSG00000116871","MAP7D1"
"288","ENSG00000116874","WARS2"
"289","ENSG00000116882","HAO2"
"290","ENSG00000116885","OSCP1"
"291","ENSG00000116898","MRPS15"
"292","ENSG00000116922","C1orf109"
"293","ENSG00000116954","RRAGC"
"294","ENSG00000116981","NT5C1A"
"295","ENSG00000116983","HPCAL4"
"296","ENSG00000116985","BMP8B"
"297","ENSG00000116990","MYCL"
"298","ENSG00000117000","RLF"
"299","ENSG00000117010","ZNF684"
"300","ENSG00000117013","KCNQ4"
"301","ENSG00000117016","RIMS3"
"302","ENSG00000117036","ETV3"
"303","ENSG00000117054","ACADM"
"304","ENSG00000117069","ST6GALNAC5"
"305","ENSG00000117090","SLAMF1"
"306","ENSG00000117091","CD48"
"307","ENSG00000117114","ADGRL2"
"308","ENSG00000117115","PADI2"
"309","ENSG00000117118","SDHB"
"310","ENSG00000117122","MFAP2"
"311","ENSG00000117133","RPF1"
"312","ENSG00000117139","KDM5B"
"313","ENSG00000117143","UAP1"
"314","ENSG00000117148","ACTL8"
"315","ENSG00000117151","CTBS"
"316","ENSG00000117152","RGS4"
"317","ENSG00000117153","KLHL12"
"318","ENSG00000117154","IGSF21"
"319","ENSG00000117155","SSX2IP"
"320","ENSG00000117174","ZNHIT6"
"321","ENSG00000117215","PLA2G2D"
"322","ENSG00000117222","RBBP5"
"323","ENSG00000117226","GBP3"
"324","ENSG00000117228","GBP1"
"325","ENSG00000117242","PINK1-AS"
"326","ENSG00000117245","KIF17"
"327","ENSG00000117262","GPR89A"
"328","ENSG00000117266","CDK18"
"329","ENSG00000117280","RAB29"
"330","ENSG00000117281","CD160"
"331","ENSG00000117298","ECE1"
"332","ENSG00000117305","HMGCL"
"333","ENSG00000117308","GALE"
"334","ENSG00000117318","ID3"
"335","ENSG00000117322","CR2"
"336","ENSG00000117335","CD46"
"337","ENSG00000117360","PRPF3"
"338","ENSG00000117362","APH1A"
"339","ENSG00000117385","P3H1"
"340","ENSG00000117394","SLC2A1"
